"FocalAOU","ENV","COMP","SHARED","NONE","n","CommonName","migclass","Trophic.Group","Long","Lat","EW","COMPSC","Family","ALPHA.CODE","FocalMass","all_overlap","Focal","FocalArea","prop_overlap","Mean.Temp","Mean.Precip","Mean.Elev","Mean.NDVI"
3930,0.0273053444484246,0.000698175424868552,0.0136076487429431,0.958388831383764,1977,"Hairy Woodpecker","resid","insectivore",-89.17505496,40.32879206,1,0.0249317024441059,"Picidae","HAWO",66.25,42953797.6852052,"Leuconotopicus villosus",14067703.7035767,3.05336241011987,79.5895601728249,79.3990274214499,611.508428955753,0.795041411250793
3940,0.321037512228582,0.00429371637083903,0.00524903409187246,0.669419737308707,2211,"Downy Woodpecker","resid","insectivore",-100.6521465,48.08186167,0,0.0131979840648063,"Picidae","DOWO",27,9272306.6665412,"Dryobates pubescens",13113178.40886,0.707098338590155,118.391982985858,91.0710644036886,249.964229436163,0.804815982112806
3960,0.0579486740712271,0.052941599846737,-0.0141917556302527,0.903301481712289,177,"Ladder-backed Woodpecker","resid","insectivore",-86.84738485,14.79858974,1,0.477423294002347,"Picidae","LBWO",30,424331.038738994,"Dryobates scalaris",2959801.46999217,0.143364696261238,168.756167182008,39.8719182834101,959.400634400446,0.39820753734096
4020,0.0212762312357005,0.479070309145283,0.0922294021047112,0.407424057514305,570,"Yellow-bellied Sapsucker","short","insectivore",-94.24031776,53.30443713,1,0.957477009395328,"Picidae","YBSA",50,16973643.7882722,"Sphyrapicus varius",4535158.14502619,3.74267958150205,55.2358873816706,77.5584996721343,383.549559899818,0.893982314414765
4021,0.142357679566686,0.0162625813345808,1.81811071104272e-05,0.841361557991623,240,"Red-naped Sapsucker","short","insectivore",-112.3709322,42.62499777,0,0.102525246410378,"Picidae","RNSA",46,582585.007762987,"Sphyrapicus nuchalis",2080628.74754262,0.280004305646101,38.3318791409926,45.7084146082742,1901.9934086392,0.738189333603866
4060,0.0691159198935413,0.0124164298900425,-0.0121195584410334,0.93058720865745,1161,"Red-headed Woodpecker","short","omnivore",-88.79037348,37.15612842,1,0.152288385199251,"Picidae","RHWO",72,8012904.73039699,"Melanerpes erythrocephalus",5465758.50217251,1.46601880182084,132.678034201442,87.0826288581029,245.945604038834,0.776454128686701
4090,0.0425689145163265,0.292502495553089,0.339634706837481,0.325293883093104,1530,"Red-bellied Woodpecker","resid","insectivore",-88.09959938,36.89208003,1,0.872955694705473,"Picidae","RBWO",67,10353229.5140192,"Melanerpes carolinus",3074161.21629419,3.36782256543453,143.522405701729,96.5676699681179,180.607035190434,0.783714711901711
4120,0.165382003606895,0.0663369538472283,0.00442764069123407,0.763853401854643,1788,"Northern Flicker","resid","insectivore",-87.16350079,38.64625539,1,0.286281945059942,"Picidae","NOFL",132.17,22246813.8202187,"Colaptes auratus",10805319.4189032,2.05887609220505,89.0091548638132,80.8878297183745,314.085903060716,0.829592873019416
4290,0.061908773479315,0.000685748634441846,0.00273568756833934,0.934669790317904,264,"Black-chinned Hummingbird","neotrop","nectarivore",-110.0064848,36.56883494,0,0.0109554096953659,"Trochilidae","BCHU",3.5,359675.417679704,"Archilochus alexandri",2399358.5723709,0.14990482115572,131.35380908982,39.607349953196,1302.26198669012,0.452735151342341
4320,0.31917058619296,0.00918057350514223,0.0695029768184264,0.602145863483471,222,"Broad-tailed Hummingbird","neotrop","nectarivore",-106.760481,32.34901816,0,0.0279596195535998,"Trochilidae","BTLH",4,359675.417679704,"Selasphorus platycercus",696941.808012465,0.516076684659548,41.5672860813824,41.1978746905216,2570.3877103023,0.613500404624222
4330,0.205228874416007,0.00442055343096176,0.164057852994084,0.626292719158947,183,"Rufous Hummingbird","neotrop","nectarivore",-121.9560068,50.67938179,0,0.0210854543051198,"Trochilidae","RUHU",4,717304.555375201,"Selasphorus rufus",1526769.17181692,0.469818600359593,68.9361440531408,137.826398153367,610.356984045394,0.82564128854566
4430,0.0611439473971576,0.101429377916715,0.379041562785512,0.458385111900615,282,"Scissor-tailed Flycatcher","neotrop","insectivore",-98.11447202,33.37344638,1,0.623899263430148,"Tyrannidae","STFL",43,4140185.29136876,"Tyrannus forficatus",1452401.82414455,2.85057841607111,167.663636821957,70.3950035129578,371.31355437422,0.610780560476927
4440,0.0582551544120448,0.26391947974686,0.0704328918860933,0.607392473955002,2037,"Eastern Kingbird","neotrop","insectivore",-96.49350173,45.45243708,1,0.819181436911908,"Tyrannidae","EAKI",44,14676438.9002417,"Tyrannus tyrannus",9143977.98040576,1.60503874043565,100.884433897575,74.9464125440801,377.834043501943,0.785379501145545
4470,0.0527047510500156,0.201272176020013,0.229283398378308,0.516739674551664,858,"Western Kingbird","neotrop","insectivore",-108.3592126,40.65179927,0,0.79248212954603,"Tyrannidae","WEKI",40,17346041.2641422,"Tyrannus verticalis",5134049.75263958,3.37862741887611,113.771133317212,36.408217007,992.867466555884,0.518186192605883
4480,0.224592016838822,0.0602391326919446,0.00536134664822549,0.709807503821008,153,"Cassin's Kingbird","neotrop","insectivore",-105.6139995,28.39932841,0,0.211490677164991,"Tyrannidae","CAKI",46,1072396.98269767,"Tyrannus vociferans",1436464.42306364,0.746553110177626,112.500027452501,32.689823980049,1863.18053229548,0.367260259515675
4520,0.0787782286395698,0.195118480266439,0.0301448461599126,0.695958444934078,1731,"Great Crested Flycatcher","neotrop","insectivore",-88.69156637,40.47408231,1,0.712379791074439,"Tyrannidae","GCFL",34,13941681.1554654,"Myiarchus crinitus",5152020.80468986,2.70606072529334,134.353360340638,93.1192710447945,176.204913613354,0.77910110367578
4540,0.0889900176482019,0.105708021568042,-0.0428903481571567,0.848192308940913,336,"Ash-throated Flycatcher","neotrop","insectivore",-108.9659241,33.85787307,0,0.542933159437913,"Tyrannidae","ATFL",27,3677416.95445027,"Myiarchus cinerascens",3499142.41100039,1.05094806741487,138.94948653833,36.6518026589817,1217.50942893541,0.399468543415595
4560,0.0345865711428852,0.281352128434863,0.0653214159803208,0.618739884441931,1641,"Eastern Phoebe","short","insectivore",-87.20084996,35.05338052,1,0.890527589088927,"Tyrannidae","EAPH",20,29440541.7936376,"Sayornis phoebe",6548604.60848115,4.4956969543571,102.920521415041,88.5125501488927,308.893487231977,0.838451984309959
4570,0.093338397129911,0.0031593879362508,-0.0025741058283383,0.906076320762176,534,"Say's Phoebe","short","insectivore",-115.3711285,48.70139884,0,0.0327405228429298,"Tyrannidae","SAPH",21,6778592.75189856,"Sayornis saya",7567465.471608,0.895754698495927,91.0562105557937,30.2756620780391,1607.3074541197,0.424384184723521
4590,0.116938643417426,0.0192062570320434,0.00417319554168671,0.859681904008843,576,"Olive-sided Flycatcher","neotrop","insectivore",-106.1363264,52.20212542,0,0.141072173607941,"Tyrannidae","OSFL",32,2863231.62954759,"Contopus cooperi",9719737.06825727,0.294579123842592,54.6713482974521,75.5359537316977,1181.51036527353,0.763504114806206
4610,0.0216609395034006,0.205755543968851,0.175106050812769,0.59747746571498,1659,"Eastern Wood-Pewee","neotrop","insectivore",-87.15105605,40.06097272,1,0.904752113071682,"Tyrannidae","EAWP",14,13526380.7885807,"Contopus virens",4084896.927276,3.31131507829765,113.833997907961,89.8905955190338,239.818055287759,0.824001122681551
4620,0.0180699986280499,0.331230128612535,0.09531492871733,0.555384944042085,711,"Western Wood-Pewee","neotrop","insectivore",-112.3213644,44.0537733,0,0.948267987272722,"Tyrannidae","WEWP",13,30853323.2580515,"Contopus sordidulus",6949521.85057158,4.43963252745422,64.296067304289,55.4714938878624,1577.69233293847,0.674497253245875
4640,0.0903934499899807,0.0670611586399971,0.00574626837993475,0.836799122990087,171,"Cordilleran Flycatcher","neotrop","insectivore",-108.8232392,36.98518987,0,0.425907880521887,"Tyrannidae","COFL",10,1891098.35845734,"Empidonax occidentalis",2351031.85131628,0.804369518600337,67.2099816285584,40.1211750857198,2227.24762603401,0.565536246436491
4641,0.0689180064624376,0.148629171207763,0.27738925074533,0.505063571584469,192,"Pacific-slope Flycatcher","neotrop","insectivore",-122.9585642,48.60365632,0,0.683204318251756,"Tyrannidae","PSFL",10,3634906.81002735,"Empidonax difficilis",866210.183883683,4.19633349694657,99.5735031449444,124.490335880726,433.243450237047,0.773090509783226
4650,0.1165552039025,0.161782465044165,0.00227572523351088,0.719386605819825,918,"Acadian Flycatcher","neotrop","insectivore",-88.25699197,36.73572201,1,0.581245311338602,"Tyrannidae","ACFL",13,5612327.74760304,"Empidonax virescens",3006589.71273658,1.86667563047528,130.838775659019,98.6133005957026,224.239124062125,0.817173915772548
4660,0.153331364741433,0.0320834640614929,-0.0152749848277883,0.829860156024863,1191,"Willow Flycatcher","neotrop","insectivore",-102.4444408,42.61092594,0,0.173036128062842,"Tyrannidae","WIFL",13.25,1298200.17191834,"Empidonax traillii",7306864.44299,0.177668572073182,72.1306302908513,78.4088109652086,658.075768721865,0.822766801579953
4670,0.112316548251665,0.261967719414316,0.215114242371312,0.410601489962707,903,"Least Flycatcher","neotrop","insectivore",-99.48598955,52.16586415,0,0.699916459347689,"Tyrannidae","LEFL",10,20421106.5281698,"Empidonax minimus",5781012.31439592,3.53244473763134,42.4649721989066,61.0151419604361,467.903622921414,0.85533614823656
4680,0.180247885911124,0.0713235197087987,0.00774512011069792,0.740683474269379,303,"Hammond's Flycatcher","neotrop","insectivore",-120.4022873,50.10352956,0,0.283512029250873,"Tyrannidae","HAFL",10,2988910.02179469,"Empidonax hammondii",2767705.80079322,1.07992331444262,46.1845849320115,76.9956225303252,1259.43538977147,0.803805662289611
4690,0.0637604209016952,0.0396895014747754,0.0302515778760568,0.866298499747473,321,"Dusky Flycatcher","neotrop","insectivore",-115.0762483,43.94339553,0,0.383659074487644,"Tyrannidae","DUFL",10,2845412.05772765,"Empidonax oberholseri",2740104.09879876,1.0384321015304,52.532392093171,46.8058245710201,1742.72836706602,0.666049651177344
4691,0.0605978297497934,0.000134912219142608,0.000326917902219914,0.938940340128844,135,"Gray Flycatcher","neotrop","insectivore",-112.9449919,39.55080667,0,0.00222140833377182,"Tyrannidae","GRFL",13,1747600.39439029,"Empidonax wrightii",1149345.24522812,1.52051822691747,73.4492874330333,38.5698358714674,1669.32245881422,0.476882199327675
4750,0.241244326389514,0.20176343772908,-0.0462768321341643,0.60326906801557,564,"Black-billed Magpie","resid","omnivore",-110.9461829,49.26823676,0,0.455439958553566,"Corvidae","BBMA",177.5,6178381.37618163,"Pica pica",39269504.0827769,0.157332808765757,39.6834694149526,36.1255669012906,1583.4201663978,0.669916196208552
4770,0.348666237800004,0.033673776147374,0.00801355537936709,0.609646430673255,1872,"Blue Jay","short","omnivore",-96.43775794,53.04165129,1,0.0880728537924065,"Corvidae","BLJA",87,1981907.64937095,"Cyanocitta cristata",6929054.29323788,0.286028592863692,119.211018742697,91.6283186680973,237.592557049411,0.812443094853222
4780,0.128714503932297,0.108834431722118,0.0794225441157753,0.683028520229809,357,"Steller's Jay","resid","omnivore",-112.274993,40.00155086,0,0.458155838174118,"Corvidae","STJA",128,4436597.44211638,"Cyanocitta stelleri",3528926.13251845,1.25720892858422,91.0562083822657,88.4676897349864,1043.6300232698,0.717083539817336
4812,0.117138352296574,0.167794464740954,0.193295121841939,0.521772061120532,108,"Western Scrub-Jay","resid","omnivore",-109.8132447,34.56558907,0,0.588891327034661,"Corvidae","WESJ",96.25,2818293.77110249,"Aphelocoma californica",2324656.99491564,1.21234822051877,132.675807091676,67.6737983464884,454.710810050342,0.662458427140995
4812,0.117138352296574,0.167794464740954,0.193295121841939,0.521772061120532,108,"Western Scrub-Jay","resid","omnivore",-109.8132447,34.56558907,0,0.588891327034661,"Corvidae","WESJ",96.25,2818293.77110249,"Aphelocoma californica",2324656.99491564,1.21234822051877,71.6336257309941,32.9110136452241,1590.57076023392,0.464826533333333
4840,0.072460466910801,0.00201823391280442,0.0289009697314796,0.896620329444915,324,"Gray Jay","resid","omnivore",-101.0574417,57.03968652,0,0.0270981353123276,"Corvidae","GRAJ",73,1934370.60827779,"Perisoreus canadensis",7552266.38251062,0.256131141342864,-11.6737651025348,45.2483462370285,764.619185831095,0.812018921750316
4880,0.14257335071103,0.073087458342597,0.292866147986484,0.491473042959889,2355,"American Crow","short","omnivore",-96.98519799,46.06061471,1,0.338900047084693,"Corvidae","AMCR",458,1088994.8009108,"Corvus brachyrhynchos",11635923.002253,0.0935890346386737,105.445518499019,85.8225493723946,323.194770433,0.810191082178162
4900,0.0969222568334724,0.175848703174286,0.125261125370895,0.601967914621347,558,"Fish Crow","short","omnivore",-84.53801171,33.75969016,1,0.644675309898401,"Corvidae","FICR",274.75,970989.792828716,"Corvus ossifragus",970993.230731752,0.999996459395465,170.278546289362,103.771000541662,53.0248898586344,0.728818859861466
4910,0.0793411294265947,0.00487472762844751,-0.000354340918517905,0.916138483863476,246,"Clark's Nutcracker","resid","omnivore",-113.5178228,42.85694088,0,0.0578837264015666,"Corvidae","CLNU",135.75,834739.951228959,"Nucifraga columbiana",2288046.02130047,0.364826556571844,34.9579691346575,41.8224227441538,2205.40959052104,0.640957276729884
4940,0.13937177271581,0.115596011575443,0.124739140573976,0.62029307513477,906,"Bobolink","neotrop","insct/om",-92.69807937,46.45183822,1,0.453374970084048,"Icteridae","BOBO",28.75,13129065.8488758,"Dolichonyx oryzivorus",3885684.52327677,3.37882959108686,60.421414921431,66.0775569823123,363.622345257406,0.84063075741551
4950,0.162857694343251,0.00851690751359085,-0.0060334442096128,0.834658842352771,2568,"Brown-headed Cowbird","short","insectivore",-100.1721058,41.744123,0,0.0496976064207313,"Icteridae","BHCO",45,41864127.3945434,"Molothrus ater",11258291.2932229,3.71851520840859,97.1256123477294,66.9290399873128,487.211696683321,0.753973385381915
4970,0.155790599515429,0.123780023333573,-0.0451771713824853,0.765606548533484,447,"Yellow-headed Blackbird","neotrop","insectivore",-107.6039972,46.00742704,0,0.442750465239073,"Icteridae","YHBL",64.5,4768929.28232786,"Xanthocephalus xanthocephalus",4771448.66197803,0.999471988524105,52.3223287872058,37.03096349836,731.995665279766,0.760912678101067
4980,0.0628130529017375,0.105893323672623,0.0910261642538893,0.74026745917175,2508,"Red-winged Blackbird","short","insectivore",-101.1606586,53.86131669,0,0.627678252730114,"Icteridae","RWBL",53,48254996.0176101,"Agelaius phoeniceus",13768565.541706,3.50472210568648,97.0104066181881,68.2695172542861,411.23892957394,0.767836956369869
5010,0.127115303365341,0.201089568684767,-0.0543212014984883,0.726116329448381,1638,"Eastern Meadowlark","short","insct/om",-81.12351507,38.57730777,1,0.612695257778094,"Icteridae","EAME",102,14290323.4114222,"Sturnella magna",6441974.70173759,2.21831411532363,130.596612992037,82.9335227659798,338.730564996483,0.745807150605908
5011,0.108301729666623,0.0908924489508326,0.230489958350612,0.570315863031932,1062,"Western Meadowlark","short","insct/om",-106.777263,42.22455657,0,0.456300729176367,"Icteridae","WEME",112,17145795.91122,"Sturnella neglecta",6733307.97728513,2.54641492251082,79.4750298937549,36.7657874551398,1140.36998958944,0.576185757058139
5060,0.145579671720772,0.108987327338876,0.0869842591635245,0.658448741776827,1356,"Orchard Oriole","neotrop","insct/om",-92.83755827,36.6176325,1,0.428128263842003,"Icteridae","OROR",19.5,6901815.79971769,"Icterus spurius",4791104.16111488,1.44054805899099,133.411877149895,90.5781919909168,238.594863879591,0.780879523806767
5070,0.219961536788308,0.0311502896381259,0.0531134292442187,0.695774744329347,1425,"Baltimore Oriole","neotrop","insectivore",-99.71622879,40.7080677,0,0.124049472625105,"Icteridae","BAOR",34.25,39565440.2105671,"Icterus galbula",8610349.93159067,4.5951024667888,89.1171993292613,76.0469520432016,330.846572209292,0.820005062898129
5080,0.124603909581906,0.00303379711604804,-0.00238036658247323,0.874742659884519,546,"Bullock's Oriole","neotrop","insectivore",-109.9489642,37.96233959,0,0.0237688156151795,"Icteridae","BUOR",34.25,18936240.4858226,"Icterus bullockii",3654495.36741894,5.18162935836385,109.748960281908,42.2950607721473,1103.38035505808,0.540325983905373
5100,0.144020857280562,0.121284137593987,0.0325237081128481,0.702171297012603,786,"Brewer's Blackbird","short","insectivore",-110.2630263,46.53335213,0,0.457149846166057,"Icteridae","BRBL",63,27722934.8931701,"Euphagus cyanocephalus",5356129.51379686,5.17592691172955,67.8362388052193,44.4749579368268,1138.02212504269,0.658241468818882
5110,0.202522680173484,0.0459435284026971,0.101461540404644,0.650072251019175,2034,"Common Grackle","short","omnivore",-93.12699833,44.46903322,1,0.184908558254152,"Icteridae","COGR",127,12337719.1682649,"Quiscalus quiscula",8242761.14181462,1.49679445467333,106.574405814402,80.8922751715738,283.152803111138,0.796890457071295
5120,0.0538096110485899,0.115849652579478,0.173241950057707,0.657098786314225,327,"Great-tailed Grackle","resid","omnivore",NA,NA,0,0.682837176715839,"Icteridae","GTGR",NA,NA,NA,NA,NA,188.435364390477,35.5709267588951,489.216754574686,0.395139707875728
5170,0.00931981816091287,0.220927515971811,0.0250740451756769,0.7446786206916,684,"Purple Finch","short","granivore",-97.08660739,51.7743838,1,0.959522579507737,"Fringillidae","PUFI",25,16038300.5243003,"Carpodacus purpureus",4552927.64380169,3.52263461646148,76.7865551732248,91.5410690435301,439.37050427885,0.8177425049427
5180,0.0521739783498118,0.241985406270842,0.0288928029988315,0.676947812380514,270,"Cassin's Finch","short","granivore",-113.864327,42.89605126,0,0.822633643264195,"Fringillidae","CAFI",27,1022461.88808515,"Carpodacus cassinii",1507191.6708933,0.678388759592299,50.7686080757567,48.848196637804,1780.03834760043,0.649289515019296
5190,0.123785120590181,0.060515107136608,-0.0158481813820381,0.831547953655249,2139,"House Finch","short","granivore",-99.85021099,36.69147829,0,0.328350691060007,"Fringillidae","HOFI",21,12300912.411617,"Carpodacus mexicanus",7559356.09992718,1.62724341187412,117.037129130117,65.5434205599389,599.643659314395,0.663726242410521
5210,0.206403884572315,0.0792449404430519,0.0778194307557264,0.636531744228907,417,"Red Crossbill","short","granivore",-83.58192055,43.44592975,1,0.277420852120743,"Fringillidae","RECR",39,14158813.1635931,"Loxia curvirostra",24505165.5768499,0.577788920429452,54.9810836479733,91.6024062998108,1261.51502763749,0.722038552167934
5220,0.350508190590574,0.000434639820608818,0.0934863167511481,0.555570852837669,141,"White-winged Crossbill","short","granivore",-71.77765249,47.49765818,1,0.00123849180819443,"Fringillidae","WWCR",28,14240061.7487656,"Loxia leucoptera",15846855.8610868,0.898604863551081,-29.9647872102655,45.6732384365747,527.584819388025,0.820355836176076
5290,0.226640658498864,0.0417453116923408,0.214987548075965,0.516626481732831,2013,"American Goldfinch","short","granivore",-96.41104244,44.85975904,1,0.15554207868094,"Fringillidae","AMGO",13.25,12115703.9502767,"Carduelis tristis",7821936.55647485,1.54893917418028,84.8584012603839,80.5093088955167,326.458248799721,0.826265739396345
5300,0.158007024421319,0.0533176592438152,0.076524414057748,0.712150902277118,312,"Lesser Goldfinch","short","granivore",-107.0070641,31.47929129,0,0.252302089462974,"Fringillidae","LEGO",10,1871517.90241404,"Carduelis psaltria",3928067.15323746,0.476447532438838,130.827277394046,56.3848977911378,897.305947620975,0.579861066118981
5330,0.136720999299712,0.00738484414104681,0.0035718188378131,0.852322337721428,666,"Pine Siskin","short","granivore",-104.5273878,50.00033271,0,0.0512459728538536,"Fringillidae","PISI",15,1871517.90241405,"Carduelis pinus",8163072.20483679,0.229266366320408,36.6780095817418,62.2376327911734,1715.07531021084,0.722539299993469
5400,0.155513879146905,0.113051304062407,0.101888396006732,0.629546420783955,1122,"Vesper Sparrow","short","insct/om",-101.192708,46.37660914,0,0.42094549528521,"Emberizidae","VESP",27,7304165.1135989,"Pooecetes gramineus",6629775.05818193,1.1017214082678,54.4816061526284,42.8851980158087,1134.03554785096,0.680225381755346
5460,0.179097745361567,0.242369898807629,-0.0640242642196484,0.642556620050452,1293,"Grasshopper Sparrow","neotrop","insct/om",-93.87830937,40.37773975,1,0.575061697287328,"Emberizidae","GRSP",17,5144249.86642719,"Ammodramus savannarum",5217422.36345113,0.985975354892385,108.105133641658,61.5333738421858,534.572443546864,0.685573143321998
5480,0.124745796638998,0.12161485122259,0.150481366608967,0.603157985529444,159,"Le Conte's Sparrow","short","insct/om",-99.84442288,53.04582761,0,0.493645605652558,"Emberizidae","LCSP",13,5704309.34456375,"Ammodramus leconteii",2899312.43378845,1.96746969318863,25.7075688152478,40.6816787500258,593.305006833775,0.833018491452006
5520,0.0684643926476462,0.1450417534853,0.175439674881809,0.611054178985245,903,"Lark Sparrow","neotrop","insct/om",-103.2900547,38.64434515,0,0.679332919039179,"Emberizidae","LASP",29,552734.614947159,"Chondestes grammacus",5633306.05649123,0.0981190457973157,125.914626458532,47.0527744578855,986.497671259875,0.51695477292103
5540,0.33941629142678,0.0162545060184833,-0.00453705982946916,0.648866262384205,327,"White-crowned Sparrow","short","insct/om",-110.6375379,59.26881309,0,0.0457009856733735,"Emberizidae","WCSP",28.12,11878395.4606959,"Zonotrichia leucophrys",7442753.5511471,1.59596786042515,1.09888078555942,56.4316667641648,1165.82741913747,0.774723490316293
5580,0.0536005271435246,0.152568735967202,0.201222980504907,0.592607756384367,399,"White-throated Sparrow","short","insct/om",-91.26839301,54.36905587,1,0.740016885471732,"Emberizidae","WTSP",25.9,41866019.3591195,"Zonotrichia albicollis",5764727.72858605,7.26244522382469,34.9689835182799,73.279434063753,399.484607581855,0.86552260351734
5600,0.140210829131295,0.0951995196354387,0.128375775689441,0.636213875543826,2187,"Chipping Sparrow","neotrop","insct/om",-96.5710521,31.51142141,1,0.404398192917896,"Emberizidae","CHSP",12,69704238.9798427,"Spizella passerina",13395245.5750865,5.20365517669075,89.4091065486272,79.4650162401308,465.183409512255,0.811072785162107
5610,0.0909326016053443,0.128499049337382,0.37441052552674,0.406157823530534,408,"Clay-colored Sparrow","neotrop","insct/om",-103.1540621,51.66009864,0,0.585599428274462,"Emberizidae","CCSP",12,24353571.0396097,"Spizella pallida",3241082.69898326,7.51402333771042,31.2659306248335,41.1038038788474,569.937683740071,0.822770759984568
5620,0.0644590252216688,0.105795918075791,-0.00296788914216388,0.832712945844704,327,"Brewer's Sparrow","neotrop","insct/om",NA,NA,0,0.621397041558731,"Emberizidae","BRSP",NA,NA,NA,NA,NA,54.6616846598937,30.8528884821201,1832.43261551701,0.489847205405182
5630,0.111598061121587,0.124455867944547,0.0925201642699482,0.671425906663917,1422,"Field Sparrow","short","insct/om",-89.72397299,39.32832843,1,0.527234892623537,"Emberizidae","FISP",13,19103605.1823221,"Spizella pusilla",4039050.36773231,4.72972690188255,119.945916467216,88.9440157258944,293.064819940696,0.807601535451683
5730,0.373136147162515,0.0717713935455709,0.0136512704158403,0.541441188876074,210,"Black-throated Sparrow","short","insct/om",-108.2829355,32.23135203,0,0.161317547981642,"Emberizidae","BTSP",14,1145846.81984181,"Amphispiza bilineata",2452623.02669974,0.467192392539698,148.324505564049,24.9780818220868,1318.20114057863,0.257161273160898
5780,0.101580211178318,0.289276588470784,0.177564976604394,0.431578223746504,204,"Cassin's Sparrow","short","insct/om",-103.3247241,31.83414909,0,0.740108880619415,"Emberizidae","CASP",19,8756336.6370522,"Peucaea cassinii",2032485.03261208,4.3081924326886,138.826259898802,33.7629383246639,1253.46687723099,0.377328052214546
5810,0.060370049318534,0.183005612919604,0.195947799212104,0.560676538549757,1893,"Song Sparrow","short","insct/om",-102.078522,48.37799185,0,0.751947056811855,"Emberizidae","SOSP",21.33,94057916.3949906,"Melospiza melodia",10467092.5338424,8.98605950896878,78.8298139185958,80.2135018010977,393.860155095548,0.833479780812864
5840,0.0746778341875793,0.02072713150713,0.0157052547884122,0.888889779516879,624,"Swamp Sparrow","short","insct/om",-90.10416394,51.74931367,1,0.217254221058636,"Emberizidae","SWSP",17,9041901.16568834,"Melospiza georgiana",6095604.66530068,1.48334770087035,53.9193745417517,71.8370358707925,324.357505574527,0.866207747828825
5850,0.126238160635323,0.0312172034080594,0.0305440243126117,0.812000611644006,249,"Fox Sparrow","short","insct/om",-115.0350793,58.19774317,0,0.198260653726972,"Emberizidae","FOSP",32,10823249.9801125,"Passerella iliaca",7594105.57569288,1.42521721251222,14.9492479211542,76.3655053909868,865.790012826804,0.714213109260609
